DATE,old_age_pop
2002-01-01,12.30
2003-01-01,12.40
2004-01-01,12.50
2005-01-01,12.70
2006-01-01,12.90
2007-01-01,13.00
2008-01-01,13.30
2009-01-01,13.60
2010-01-01,13.90
2011-01-01,14.10
2012-01-01,14.10
2013-01-01,14.30
2014-01-01,14.30
2015-01-01,14.70
2016-01-01,14.70
2017-01-01,15.10
2018-01-01,15.40
2019-01-01,15.80
2020-01-01,16.20
2021-01-01,16.70
2022-01-01,17.10
